f,Trace 1,Trace 2,Trace 3
17350000.000, -7.47130e+01, -2.14748e+06, -2.14748e+06
17400000.000, -7.48260e+01, -2.14748e+06, -2.14748e+06
17450000.000, -7.45780e+01, -2.14748e+06, -2.14748e+06
17500000.000, -7.46860e+01, -2.14748e+06, -2.14748e+06
17550000.000, -7.48660e+01, -2.14748e+06, -2.14748e+06
17600000.000, -7.48470e+01, -2.14748e+06, -2.14748e+06
17650000.000, -7.48060e+01, -2.14748e+06, -2.14748e+06
17700000.000, -7.47010e+01, -2.14748e+06, -2.14748e+06
17750000.000, -7.48700e+01, -2.14748e+06, -2.14748e+06
17800000.000, -7.47360e+01, -2.14748e+06, -2.14748e+06
17850000.000, -7.48690e+01, -2.14748e+06, -2.14748e+06
17900000.000, -7.48790e+01, -2.14748e+06, -2.14748e+06
17950000.000, -7.48400e+01, -2.14748e+06, -2.14748e+06
18000000.000, -7.44920e+01, -2.14748e+06, -2.14748e+06
18050000.000, -7.47610e+01, -2.14748e+06, -2.14748e+06
18100000.000, -7.49510e+01, -2.14748e+06, -2.14748e+06
18150000.000, -7.51080e+01, -2.14748e+06, -2.14748e+06
18200000.000, -7.48920e+01, -2.14748e+06, -2.14748e+06
18250000.000, -7.48290e+01, -2.14748e+06, -2.14748e+06
18300000.000, -7.46060e+01, -2.14748e+06, -2.14748e+06
18350000.000, -7.47850e+01, -2.14748e+06, -2.14748e+06
18400000.000, -7.47100e+01, -2.14748e+06, -2.14748e+06
18450000.000, -7.47080e+01, -2.14748e+06, -2.14748e+06
18500000.000, -7.47490e+01, -2.14748e+06, -2.14748e+06
18550000.000, -7.47350e+01, -2.14748e+06, -2.14748e+06
18600000.000, -7.47330e+01, -2.14748e+06, -2.14748e+06
18650000.000, -7.47240e+01, -2.14748e+06, -2.14748e+06
18700000.000, -7.46280e+01, -2.14748e+06, -2.14748e+06
18750000.000, -7.46890e+01, -2.14748e+06, -2.14748e+06
18800000.000, -7.50940e+01, -2.14748e+06, -2.14748e+06
18850000.000, -7.47170e+01, -2.14748e+06, -2.14748e+06
18900000.000, -7.48630e+01, -2.14748e+06, -2.14748e+06
18950000.000, -7.49130e+01, -2.14748e+06, -2.14748e+06
19000000.000, -7.49120e+01, -2.14748e+06, -2.14748e+06
19050000.000, -7.49730e+01, -2.14748e+06, -2.14748e+06
19100000.000, -7.46040e+01, -2.14748e+06, -2.14748e+06
19150000.000, -7.47340e+01, -2.14748e+06, -2.14748e+06
19200000.000, -7.46260e+01, -2.14748e+06, -2.14748e+06
19250000.000, -7.47360e+01, -2.14748e+06, -2.14748e+06
19300000.000, -7.49320e+01, -2.14748e+06, -2.14748e+06
19350000.000, -7.46860e+01, -2.14748e+06, -2.14748e+06
19400000.000, -7.47490e+01, -2.14748e+06, -2.14748e+06
19450000.000, -7.44910e+01, -2.14748e+06, -2.14748e+06
19500000.000, -7.47170e+01, -2.14748e+06, -2.14748e+06
19550000.000, -7.46630e+01, -2.14748e+06, -2.14748e+06
19600000.000, -7.48650e+01, -2.14748e+06, -2.14748e+06
19650000.000, -7.49530e+01, -2.14748e+06, -2.14748e+06
19700000.000, -7.47270e+01, -2.14748e+06, -2.14748e+06
19750000.000, -7.45170e+01, -2.14748e+06, -2.14748e+06
19800000.000, -7.49470e+01, -2.14748e+06, -2.14748e+06
19850000.000, -7.47270e+01, -2.14748e+06, -2.14748e+06
19900000.000, -7.49010e+01, -2.14748e+06, -2.14748e+06
19950000.000, -7.45900e+01, -2.14748e+06, -2.14748e+06
20000000.000, -7.47970e+01, -2.14748e+06, -2.14748e+06
